varnames,week0_ppc_spec1_est,week0_ppc_spec1_se,week0_ppc_spec1_pval,week0_ppc_spec2_est,week0_ppc_spec2_se,week0_ppc_spec2_pval,week0_sp_spec1_est,week0_sp_spec1_se,week0_sp_spec1_pval,week0_sp_spec2_est,week0_sp_spec2_se,week0_sp_spec2_pval,week1_ppc_spec1_est,week1_ppc_spec1_se,week1_ppc_spec1_pval,week1_ppc_spec2_est,week1_ppc_spec2_se,week1_ppc_spec2_pval,week1_sp_spec1_est,week1_sp_spec1_se,week1_sp_spec1_pval,week1_sp_spec2_est,week1_sp_spec2_se,week1_sp_spec2_pval
bias,-13246.6694824192,9567.59568564617,0.168351352119332,-11056.9401093911,17228.6557621739,0.522148553069157,-74605.9147119588,0-175092.693342625i,0.670680153192348,-92481.4526904107,0-211028.401920649i,0.661938417637307,-7825.17928770508,0-22573.6877532663i,0.729363500540499,5131.60633766777,0-29432.9399920637i,0.861862345813842,-58413.0382658858,168272.695386943,0.729001603214074,-61301.2708740391,108631.447610152,0.573518888854117
log_density,-0.000136545553855778,3.0274828245888e-05,1.33943740985298e-05,-7.31846855513868e-05,9.11174335886339e-05,0.423330539554092,0.0197665233367028,0-0.000554031028671393i,0,0.0161590146673591,0-0.00111617175855833i,0,-0.000934029909019603,0-7.14223841267466e-05i,0,-0.00108537028911743,0-0.000155675288485145i,1.41557210397991e-10,0.00738763642082809,0.000532366471800439,0,0.00820764000876244,0.000574508032463163,0
share_hispanic,0.0110182564369278,6.14027929714894e-05,0,0.0102810263008814,0.000246070179852046,0,0.0445621799057255,0-0.00112416703383369i,0,0.035568670397568,0-0.00301869431048536i,0,0.027835794749698,0-0.000145199682579129i,0,0.0256871183156189,0-0.000420976951611206i,0,0.142986072818224,0.00108437747715553,0,0.151983137517039,0.00155095792224463,0
share_white,0.0107606055309273,5.89547792855275e-05,0,0.0100391253930326,0.000242033705902069,0,0.04423947492483,0-0.00107935877273201i,0,0.0354137304171523,0-0.00296916986845775i,0,0.0271644933816573,0-0.000139418074042747i,0,0.0250664755494637,0-0.000414070518372416i,0,0.14018423654326,0.00104124336049675,0,0.148906602601914,0.0015255171958755,0
share_black,0.0106016348796018,6.0330969039004e-05,0,0.00993575014762447,0.000233896440608619,0,0.0455886385812719,0-0.00110453920433892i,0,0.0367742726907851,0-0.00286945059628049i,0,0.0266499262545987,0-0.00014266154571526i,0,0.0246833808090805,0-0.000400162816983305i,0,0.138850204459197,0.0010654006117135,0,0.147965312820505,0.00147421563373537,0
share_asian,0.0122321660521516,7.03717282050139e-05,0,0.0114634810767517,0.000268860375554826,0,0.0537955512493175,0-0.0012883558096319i,0,0.0438682587001927,0-0.00329837009320678i,0,0.0306620515965546,0-0.000166397561246442i,0,0.0283977429297937,0-0.000459978554727144i,0,0.159861123992829,0.00124262006137611,0,0.170526504939448,0.00169459071012133,0
share_below_20,13245.6175049776,9567.59909126283,0.168385078967765,11055.9473141201,17228.6276740652,0.522185178306456,74602.4682059333,0-175092.755712139i,0.670694572836443,92478.6788733649,0-211028.057426735i,0.661947403181697,7822.52348970467,0-22573.6958199835i,0.729451803216058,-5134.09662054944,0-29432.8919492099i,0.861795768699222,58399.519462977,168272.755714202,0.729061920963703,61286.2547689391,108631.270563524,0.573612048952387
share_20_40,13245.6183925734,9567.59894983546,0.16838504438614,11055.9481398676,17228.6281374743,0.522185158453562,74602.5575679567,0-175092.753123812i,0.670694197240211,92478.5747791512,0-211028.063103667i,0.661947768319532,7822.52415216799,0-22573.6954862347i,0.729451777371074,-5134.09508247612,0-29432.8927409787i,0.861795813361059,58399.6742298621,168272.753225891,0.729061227641194,61286.4711586281,108631.273485346,0.573610707719945
share_40_60,13245.6039731593,9567.59872949675,0.168385494914375,11055.9322383134,17228.6274685697,0.522185739809084,74602.3130332503,0-175092.749091403i,0.670695205377922,92478.4237822478,0-211028.054911132i,0.661948273318248,7822.48747151784,0-22573.6949663505i,0.729452989725418,-5134.14373346873,0-29432.8915983321i,0.861794511747747,58399.7396743247,168272.749350267,0.729060930098782,61286.4236522389,108631.269267651,0.573610989573653
share_above_60,13245.6291757152,9567.59885431581,0.168384695969733,11055.9568291508,17228.6287090015,0.52218484574371,74602.5692523544,0-175092.751375681i,0.670694145635942,92478.6374850232,0-211028.070105031i,0.661947564007653,7822.5581686637,0-22573.6952608208i,0.729450644928178,-5134.06690116589,0-29432.8937174819i,0.861796568788934,58399.7856650387,168272.75154525,0.72906072860719,61286.5786411115,108631.277088859,0.573610049103459
log_commute_time,0.000203630121285466,0.000370440538725426,0.583384568549382,-0.00382944376138866,0.000737409977235077,7.77172100230317e-07,0.0246886398904719,0-0.00677936973131634i,0.000377814633505169,-0.068000767731998,0-0.00903144676393147i,7.56861240347462e-12,0.00767194103882641,0-0.000874074119477345i,4.66293670342566e-15,-0.000913784254774177,0-0.00125965402036259i,0.469495316946407,0.0482381994709617,0.0065161003414906,1.04847241999551e-11,0.0148509011763491,0.00464970289284727,0.00176098690832194
household_size,0.00242407856233826,1.39810383851796e-05,0,0.00117724833825242,0.000137198573248044,2.46469511466785e-14,0.0806017214240641,0-0.000255870091137892i,0,0.0550810647950199,0-0.00168064929002652i,0,0.00561057677890354,0-3.29948698006829e-05i,0,0.00103522101008218,0-0.000234405845249907i,2.09183234001209e-05,0.0625570546203156,0.000246016303723446,0,0.0276186956401612,0.000865053210136711,0
share_male,0.0192567013552712,0.000143747403722064,0,0.0292197756069182,0.000710498958636467,0,-0.110827985727901,0-0.00263062362553338i,0,0.154218433626622,0-0.00870359975006245i,0,0.0258718792432361,0-0.000339236910095272i,0,0.0515784802832701,0-0.00121388993570869i,0,-0.0474428142630726,0.00252933650356904,0,-0.0194171372893577,0.00447974014058354,2.90156186402157e-05
log_mean_income,-0.00184827890476207,9.07058020001902e-05,0,0.0003645093585903,3.04497275207815e-05,0,-0.0829830600110883,0-0.00165999827326805i,0,-0.0410961272168175,0-0.000372878700141474i,0,-0.00538124917124555,0-0.000214016028001447i,0,0.00193929125712433,0-5.20048961923317e-05i,0,-0.0578031934803114,0.00159540304747172,0,0.0221633728371637,0.000192004833137939,0
share_public_trans,-0.000597389474797314,4.57848129696578e-05,0,-0.00132576631218554,0.000317451192381761,5.39410095308224e-05,-0.0112026844201869,0-0.000837917701782765i,0,-0.0144367411746876,0-0.0038889033637839i,0.000303506695144895,0.00178692572118828,0-0.000108059784246736i,0,-0.000550126631762903,0-0.00054239621130363i,0.312346335350974,0.00169487741645876,0.000805764031848299,0.037178239045176,-0.00178471245415569,0.00200154223286037,0.374217986308875
uninsured,-0.0191731701213192,0.000434433512102144,0,-0.0198418888868133,0.000912741976875791,0,0.0794238551139041,0-0.00795064287699321i,0,0.0815112394840299,0-0.0111786108481038i,2.6665336605447e-11,-0.0137524186527945,0-0.00102509621040484i,0,-0.00769105749537643,0-0.00155913446743376i,2.42975961284309e-06,0.117293251586375,0.0076421039508514,0,0.149064932413569,0.00575528648366748,0
share_pro_essential,0,0,0,-0.00628125308755863,0.00230046558081621,0.00720315463646015,0,0+0i,0,0.235785589150984,0-0.0281782346958569i,7.99360577730113e-14,0,0+0i,0,-0.0391817026403995,0-0.00393012227896864i,0,0,0,0,-0.303765236351087,0.0145050355535385,0
share_pro_nonessential,0,0,0,-0.0109325701643671,0.000969204257796492,0,0,0+0i,0,0.163790214267686,0-0.0118718338479894i,0,0,0+0i,0,-0.0326852993491744,0-0.00165579632858694i,0,0,0,0,-0.325224908955295,0.00611108467954132,0
share_science,0,0,0,0.0334084509881106,0.0130684054512426,0.011724989447164,0,0+0i,0,-1.40465008604365,0-0.160068722152624i,8.43769498715119e-15,0,0+0i,0,0.107318997183991,0-0.0223253812109587i,4.1628926579218e-06,0,0,0,-0.363924028416894,0.0823999908547694,2.09021497770134e-05
share_legal,0,0,0,-0.00355783231396449,0.00182374799665499,0.0532278425053241,0,0+0i,0,-0.682979915558362,0-0.0223408126137843i,0,0,0+0i,0,0.0154480333376813,0-0.00311591642280839i,2.18222151460168e-06,0,0,0,-0.198791821254693,0.0114990519998596,0
share_caregiver,0,0,0,0.0190042998581775,0.000979477153341243,0,0,0+0i,0,-0.0128990357379315,0-0.0119977784868532i,0.28431295165307,0,0+0i,0,0.0489703911542425,0-0.00167335518697807i,0,0,0,0,-0.0688477668101435,0.00617584358875263,0
share_health,0,0,0,0.031475808052084,0.00034734272362457,0,0,0+0i,0,0.874617949973725,0-0.00425566154472921i,0,0,0+0i,0,0.0676601453096086,0-0.000593559383763933i,0,0,0,0,0.532827818836875,0.00218995114373136,0
share_fire,0,0,0,0.0522600510115405,0.00137477932231434,0,0,0+0i,0,2.45543646519238,0-0.0168408910202733i,0,0,0+0i,0,0.124716119384278,0-0.00234888400055904i,0,0,0,0,0.0774829752217227,0.00866806102626073,3.33066907387547e-15
share_police,0,0,0,0.0922076011385694,0.0040049294994904,0,0,0+0i,0,0.0152477131372727,0-0.0490541662317237i,0.756424495464258,0,0+0i,0,0.0822790106988593,0-0.00684179312304554i,0,0,0,0,0.276862129872373,0.025252274395904,0
share_reg_essential,0,0,0,0.0250184684889586,0.00163027766566672,0,0,0+0i,0,0.516925127942604,0-0.0199679431549122i,0,0,0+0i,0,0.0502024182886484,0-0.00278501627197692i,0,0,0,0,0.177010092335357,0.0102794718684404,0
share_reg_nonessential,0,0,0,-0.0321326695981078,0.00311355896196117,0,0,0+0i,0,0.110040504511018,0-0.038137979647625i,0.0045791316954864,0,0+0i,0,-0.0967815493240665,0-0.00531922506373137i,0,0,0,0,-0.583315534642683,0.0196317965624796,0
share_industrial,0,0,0,-0.00798919755706485,0.0030365862135167,0.00954294822846369,0,0+0i,0,0.0679022994720918,0-0.0371935758105294i,0.0701987442929073,0,0+0i,0,-0.0412116476595919,0-0.00518754310480068i,8.11128941791139e-13,0,0,0,-0.148298508057414,0.01914652730726,2.37743158493231e-12
share_tec_essential,0,0,0,-0.0759782069418913,0.00538819787576243,0,0,0+0i,0,-1.7434006264022,0-0.0659967572718252i,0,0,0+0i,0,-0.0301385358455842,0-0.00920484134516051i,0.00135798554273014,0,0,0,-0.379382956223268,0.0339742817122277,0
share_transportation,0,0,0,0.0378459910131919,0.00534972480227485,8.32196533906426e-11,0,0+0i,0,1.0282665523229,0-0.0655319079875251i,0,0,0+0i,0,0.0923118259407188,0-0.00913994398930901i,0,0,0,0,0.186748435240649,0.0337309228190967,1.63904182004515e-07
